,problem,solver,status,sanity_sat,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,slots:u,topdown-retiring:u,topdown-bad-spec:u,topdown-fe-bound:u,topdown-be-bound:u,elapsed,user,sys
13,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/5735c9082c3f9cd487c6376032029bb499ba1f87113dc9ca03adc6bc,cvc5,Success,sat,3.99,0,0,577,9071178,11382798,2270516,64908,45355870,11027701,5869583,24901261,3557323,0.005217006,0.000885000,0.003543000
14,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/f72b09bc9444f702ad7cdf3a9075754e71d673f3d134d9f485f6608a,z3,Success,unsupported,8.50,0,0,1998,14471203,19470812,4047347,94128,72355935,18761902,9876305,25907269,18216317,0.009255626,0.001992000,0.006972000
15,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/5735c9082c3f9cd487c6376032029bb499ba1f87113dc9ca03adc6bc,z3alpha,Success,sat,46.41,0,0,5511,124649602,224431179,49215493,943457,622188960,201207709,143314964,193066913,96650222,0.053738221,0.036326000,0.010491000
16,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/bdcb3877984a55b540face066045c4642cba1bc553af78576a41a76e,z3alpha,Success,sat,61.36,0,0,6201,133603213,225210783,49368089,967570,667343695,189881643,350757804,182114891,114380090,0.447059035,0.036261000,0.026138000
17,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/5735c9082c3f9cd487c6376032029bb499ba1f87113dc9ca03adc6bc,z3,Success,unsupported,7.76,0,0,1944,12149147,14711153,3098596,65249,60745735,14143992,7600525,20255641,19056543,0.008614512,0.004666000,0.003492000
18,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/f72b09bc9444f702ad7cdf3a9075754e71d673f3d134d9f485f6608a,cvc5,Success,sat,8.15,0,0,674,22863022,36325688,7043340,150126,114232220,34941620,14782993,57340094,7167511,0.010192127,0.005700000,0.002852000
19,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/e007cfdcf4dd61007107222cbedbb46ad161a945ab5ee0a68d3f585a,cvc5,Success,sat,6.19,0,0,631,14688644,22374062,4358377,102813,73443220,21611688,10656467,36459044,5345800,0.008274632,0.004636000,0.001860000
20,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1588.corecstrs.readable,z3,Success,unsupported,7.83,0,0,1885,12493214,16647768,3490525,71793,61943595,15828691,8455002,20203425,17796742,0.008944061,0.004767000,0.003576000
21,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1588.corecstrs.readable,ostrich,Success,sat,2812.27,0,0,30198,8548947415,10295145214,2032910563,60813971,38878792215,7260420947,21777576489,8919337481,8443060904,0.977895514,2.532221000,0.310383000
22,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1590.corecstrs.readable,z3noodler,Success,sat,14.69,0,0,2731,35447555,71081455,15034539,140176,177237775,72150430,15980137,59155187,31249838,0.015335108,0.012132000,0.003039000
23,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1557.corecstrs.readable,cvc5,Success,sat,3.33,0,0,578,7646283,9972914,1997522,56517,38231415,9773402,5247449,19968446,3326536,0.004283724,0.002071000,0.001725000
24,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1908.corecstrs.readable,z3alpha,Success,sat,47.28,0,0,6021,126258594,227205421,49738155,946798,631076870,205308433,142608867,197856020,99303770,0.054685916,0.032689000,0.014961000
25,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1885.corecstrs.readable,z3noodler,Success,sat,15.17,0,0,2726,35788145,70850004,14977876,140442,178893050,72125747,16829275,59012823,33639631,0.015849920,0.008268000,0.007245000
26,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1550.corecstrs.readable,z3noodler,Success,sat,15.32,0,0,2728,36072344,71154148,15045229,141415,180361660,71995809,16260571,60198050,33213575,0.015965748,0.010475000,0.005245000
27,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1627.corecstrs.readable,z3alpha,Success,sat,47.49,0,0,5511,125414986,228435432,49971765,950243,626995575,208211763,141717030,193703413,99241484,0.123055758,0.033792000,0.014137000
28,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2009.corecstrs.readable,ostrich,Success,sat,2745.46,0,0,29757,8489330582,10122902146,2003097745,60027321,38296686790,7005548874,21834446001,8782366873,8103646215,0.974092976,2.521671000,0.254418000
29,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1567.corecstrs.readable,z3alpha,Success,sat,46.67,0,0,6023,126202150,228495066,49966583,949050,631010750,206295189,142382645,198399034,99567882,0.054406043,0.033737000,0.013372000
30,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1595.corecstrs.readable,z3noodler,Success,sat,15.79,0,0,2729,36615107,71074126,15031215,141375,183020425,71641032,17220654,61096774,34417298,0.016428140,0.011812000,0.004290000
31,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1555.corecstrs.readable,ostrich,Success,sat,2483.55,0,0,29968,7509306368,9719468725,1907963839,59468531,35880606135,6486738392,22352146933,8206891472,6004890786,0.995274226,2.291696000,0.232999000
32,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1626.corecstrs.readable,z3,Success,unsupported,7.63,0,0,1885,12432228,16568588,3472541,70127,62161120,15724300,8278101,20197682,18318999,0.008577218,0.002029000,0.006074000
33,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1997.corecstrs.readable,ostrich,Success,sat,2550.36,0,0,29831,7785684143,10040345789,1964748728,60015532,36667311920,6922530844,20963569529,8869378420,6706585162,0.973193061,2.301458000,0.275621000
34,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1635.corecstrs.readable,z3alpha,Success,sat,46.18,0,0,6021,124671835,228426991,49968130,950238,623297375,206163739,139822680,193843612,94985775,0.063289436,0.034037000,0.012642000
35,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1636.corecstrs.readable,ostrich,Success,sat,2386.85,0,0,30498,7430566129,10010374165,1947887109,60450826,34641465520,7179809792,19575720791,9180546462,5099711197,0.961781127,2.158365000,0.257929000
36,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2008.corecstrs.readable,z3noodler,Success,sat,15.04,0,0,2728,36131500,71339031,15069021,144226,180636150,72106140,16995444,58876152,33966113,0.015704052,0.006717000,0.008637000
37,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1886.corecstrs.readable,ostrich,Success,sat,2704.99,0,0,30481,8372356657,10145529518,1999538376,60333656,38651446815,7054631688,21568271157,8795551209,8108188220,0.996373069,2.528692000,0.208473000
38,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1573.corecstrs.readable,z3,Success,unsupported,7.98,0,0,1890,13246340,16829376,3528949,73231,65926520,16113521,8496539,22254414,19450856,0.009043711,0.005620000,0.002814000
39,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1910.corecstrs.readable,z3noodler,Success,sat,14.61,0,0,2728,35246251,70846536,14975460,140975,176179730,71714524,16576448,58105128,31065128,0.015346574,0.009964000,0.004991000
40,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1594.corecstrs.readable,z3alpha,Success,sat,47.79,0,0,6025,127789915,227259258,49733887,947647,638896590,205573120,141675373,196999259,107510530,0.075621509,0.031109000,0.017450000
41,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1595.corecstrs.readable,z3,Success,unsupported,7.77,0,0,1888,12454430,16648370,3490739,71319,62272130,15753442,8291536,19965368,18593252,0.008559375,0.004530000,0.003628000
42,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2009.corecstrs.readable,z3noodler,Success,sat,15.28,0,0,2727,36184378,71339278,15069083,144550,180853730,72204947,17015610,58947459,34003027,0.015922129,0.010733000,0.004881000
43,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1597.corecstrs.readable,z3,Success,unsupported,7.91,0,0,1888,12717441,16648269,3490681,71062,63587185,15827041,8462935,20421012,19243375,0.008819253,0.001885000,0.006508000
44,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1910.corecstrs.readable,z3alpha,Success,sat,48.64,0,0,6020,129668691,228244639,49915123,957981,648294325,203799677,145245124,198817661,112206740,0.055867333,0.030287000,0.018638000
45,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1550.corecstrs.readable,z3alpha,Success,sat,49.33,0,0,6018,126579808,228774181,50037817,959780,632710835,206155278,146103595,196458677,99767334,0.057676137,0.037723000,0.012072000
46,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1573.corecstrs.readable,ostrich,Success,sat,3036.82,0,0,30162,9433034989,10298349751,2063609858,60643212,40751013225,7383499113,20995873708,9603574840,9851366946,1.004802179,2.741391000,0.329388000
47,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1886.corecstrs.readable,cvc5,Success,sat,3.38,0,0,571,7464832,9329454,1877139,56164,37324140,9103487,5122921,19788437,3395091,0.004204396,0.001491000,0.002239000
48,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1554.corecstrs.readable,cvc5,Success,sat,3.54,0,0,578,7747078,9971642,1997357,56835,38699860,9741272,5159981,20364762,3518940,0.004385731,0.001941000,0.001940000
49,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1910.corecstrs.readable,ostrich,Success,sat,2638.81,0,0,30766,8071706323,10109655994,1990153060,60074799,37197429345,7230257056,20691974448,9090388501,7149239260,0.969669097,2.428678000,0.244670000
50,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2007.corecstrs.readable,z3alpha,Success,sat,45.80,0,0,5986,123653505,224391825,49202406,942409,618063745,201955157,145511000,193010448,93809446,0.053757064,0.031834000,0.014257000
51,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1566.corecstrs.readable,cvc5,Success,sat,3.89,0,0,573,8327893,9800340,1964848,56811,41639445,9502689,5388634,23055920,3787471,0.005263626,0.001738000,0.002610000
